RH Level,Unit Number,Unit Name,Language Skill,Vocabulary Words,Thinking Map Skill,Reading Skill,Genres,Grammar Skill,Project,Phonics Skill
5,6,The Wild West (Social Studies) Part 2,Express Opinions,"boomtown, claim, ghost town, investor, limited resources, mining",Cause and Effect,Visualize,"Genres: Play, Narrative Poem",Different Kinds of Pronouns,Write a Narrative Poem,
5,7,Talking About Trash (Science) Part 1,Persuade,"plastic, pollution, recycle, reduce, renewable, reuse",AuthorÃ¢â‚¬â„¢s Viewpoint,Synthesize,"Genres: Persuasive Article, Essay",Adverbs,Persuasive Presentation,
5,7,Talking About Trash (Science) Part 2,Make Comparisons,"biodegradable, dispose, generate, landfill, transform",Goal and Outcome,Synthesize,"Genres: Short Story, Poem",Prepositional Phrases,Write a Persuasive Essay,
5,8,One Idea (Social Studies) Part 1,Express Ideas,"business, earnings, expenses, goods, income, profit, services",Steps in a Process,Review,"Genres: Procedural Text, Newspaper Article",Past Tense Verbs,Informational Presentation,
5,8,One Idea (Social Studies) Part 2,Restate an Idea,"borrow, credit, debt, entrepreneur, loan",Elements of Fiction,Review,"Genres: Fiction, Magazine Article",Future Tense,Write a Procedure,
6,1,The Power of Choice (Social Studies) Part 1,Give Information,"capable, encounter, figure out, reputation, resistance, assumption, diverge, exclude, optional, potential",Main Idea,Preview and Predict,"Biography, Speech",Complete Sentences,Narrative Presentation,
6,1,The Power of Choice (Social Studies) Part 2,Ask and Answer Questions,"associate, confront, preservation, sensitive, tolerance, awareness, conform, intent, interaction, involve",Characters and Plot,Monitor,"Realistic Fiction, Biography",Subject-Verb Agreement,Write a Personal Narrative,
6,2,Survival (Science) Part 1,Describe,"camouflage, deception, duplicate, mimic, parasite, variation, asset, convince, emerge, ensure, resemblance",Main Idea and Details,Visualize,"Science Article, Science Feature",Subject and Object Pronouns,Informational Presentation,
6,2,Survival (Science) Part 2,Elaborate,"exhaust, necessity, overcome, reliance, resourceful, concentrate, intense, motivation, resilience, resolve",Character,Visualize,"Adventure Story, Personal Narrative",Possessive Adjectives and Pronouns,Write an Expository Report Survival What does it take to survive?,
6,3,Digging Up the Past (Social Studies) Part 1,Define and Explain,"archaeological, artifact, chronological, civilization, dynasty, pharaoh, tomb, analytical, depict, powerful",Chronological Order,Ask Questions,Magazine Article,Progressive Tenses,Panel Discussion,
6,3,Digging Up the Past (Social Studies) Part 2,Engage in Discussion,"chamber, command, hieroglyphics, peer, plunder, procession, consider, contribute, impact, perspective",Plot,Ask Questions,"Diary, Historical Fiction",Modals,Write a Research Report,
6,4,Our Diverse Earth (Science) Part 1,Make an Argument,"dependent, endangered, extinct, policy, recover, thrive, appeal, effective factor protection sustain",AuthorÃ¢â‚¬â„¢s Viewpoint,Make Connections,"Environmental Report, Online Article",Adjectives and Adverbs,Persuasive Presentation,
6,4,Our Diverse Earth (Science) Part 2,Use Appropriate Language,deforestation ecological landscape management regulate advocate intervene obligation participate utilize,CharacterÃ¢â‚¬â„¢s Viewpoints,Make Connections,"Realistic Fiction, Essay",Participial Phrases,Write an Argument,
6,5,A Time to Act (Social Studies) Part 1,Ask for and Give InformationÃ‚Â ,"boycott demonstration discrimination integrate prejudice separate, endeavor, implement, inherent, position, react",Relate IdeasÃ‚Â ,Determine Importance,"History Article, Memoir",Verb TensesÃ‚Â ,News Report,
6,5,A Time to Act (Social Studies) Part 2,Express and Support OpinionsÃ‚Â ,"declaration, defensively, humanity, indignation, innocence, authority, commitment, intention, presume, reinforce",Theme,SummarizeÃ‚Â ,"Biographical Fiction, Historical Fiction",Perfect Tense VerbsÃ‚Â ,Write an Argument,
6,6,Food for Thought (Science) Part 1,ParaphraseÃ‚Â ,"donate, equip, inspiration, nutritious, practical, welfare, devote, envision, eventually, incentive, supplement",Plot and CharacterÃ‚Â ,Make InferencesÃ‚Â ,"Realistic Fiction, Interview",Pronouns,Persuasive Presentation,
6,6,Food for Thought (Science) Part 2,Persuade,"controversy, crucial, eliminate, innovate, modified, gene, global, organic, poverty, production, virus",ArgumentÃ‚Â ,Make InferencesÃ‚Â , Persuasive Article,Different Kinds of PronounsÃ‚Â ,Write an Editorial,
6,7,Ancient China (Social Studies) Part 1,Interpret ImagesÃ‚Â ,"ancestor, conquest, empire, infrastructure, revolt, aspect, assemble, domain, foundation, unify",Relate IdeasÃ‚Â ,Reading Strategy: Draw Conclusions,History Article ,Pronouns,Oral Report,
6,7,Ancient China (Social Studies) Part 2,SummarizeÃ‚Â ,"despair, invasion, legendary, precious, subordinate, expertise, inquiry, integrity, pose, promote",Elements of FictionÃ‚Â ,Reading Strategy: Form Generalizations,"Fantasy Story, Drama",Prepositional PhrasesÃ‚Â ,Write a Narrative,
6,8,Earth and Beyond (Science) Part 1,Clarify and Verify,"composition, crater, erode, geologic, survey, terrain, analogy, distinct, simulate, structural, transform",Compare and ContrastÃ‚Â ,Reading Strategy: Choose Reading StrategiesÃ‚Â ,Science Article,Compound and Complex Sentences,Science News Report,
6,8,Earth and Beyond (Science) Part 2,Make ComparisonsÃ‚Â ,"cavern, formation, navigation, passage, subterranean, circumstance, constant, estimate, perceive, undertake",Word ChoiceÃ‚Â ,Use Reading StrategiesÃ‚Â ,"Science Fiction, Science Article",Combine SentencesÃ‚Â ,Write Science Fiction,
